candidate_id,recommendation,rank_score,title,year,doi,authors,source,matched_concepts,branch_files,duplicate_count,reason,human_review_required,metadata_only,scientific_evidence
a2eec249f065,GET_FULL_TEXT,70,A variable stiffness omnidirectional chain based on positive-pressure fiber jamming,2026,10.5194/ms-17-481-2026,Zhang S.; Yao J.,Mechanical Sciences,active_pressure_signal; bending_stiffness; contact_friction; jamming; pressure_control,forward/F01.csv; forward/F02.csv,1,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
99acc2ce82d1,GET_FULL_TEXT,70,An Underactuated Variable Stiffness Continuum Robot With Multi-Layer Jamming Spherical Joints,2026,10.1109/tase.2026.3673298,Ai X.; Li C.; Zhang Y.; Chen Y.; Chen C.; Wang H.; Chen R.,IEEE Transactions on Automation Science and Engineering,bending_stiffness; contact_friction; jamming; pressure_control,forward/F02.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
b66a1e325799,GET_FULL_TEXT,70,Application of Simulation Tools for the Analysis of Granular Jamming in Actuators,2026,10.1109/iccc71363.2026.11593395,Hrehova S.; Krenicky T.; Pitel B.,"Proceedings of the 2026 27th International Carpathian Control Conference, ICCC 2026",bending_stiffness; contact_friction; jamming; pressure_control,forward/F02.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
b291d7888deb,GET_FULL_TEXT,70,Design and Implementation of a Three-Segment Tendon-Driven Continuum Robot with Variable Stiffness for Manipulation in Confined Spaces,2026,10.3390/biomimetics11020113,Weng Z.; Sha L.; Chen Y.; Fan B.; Li L.; Liu B.,Biomimetics,active_pressure_signal; bending_stiffness; contact_friction; jamming; pressure_control,forward/F02.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
defa56566233,GET_FULL_TEXT,70,Biomimetic soft hand combined with variable stiffness and friction,2025,10.1108/ir-12-2024-0559,Huang H.; Huang C.; Xie J.; Wang N.,Industrial Robot,bending_stiffness; contact_friction; jamming; pressure_control,forward/F01.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
3892db8083fd,GET_FULL_TEXT,70,Programmable Locking Cells (PLC) for Modular Robots with High Stiffness Tunability and Morphological Adaptability,2025,10.1109/tro.2025.3626509,Zhou J.; Chen W.; Huang J.; Liang B.; Liu Y.; Tomizuka M.,IEEE Transactions on Robotics,bending_stiffness; jamming; pressure_control; wire_bundle,forward/F02.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
90f868db66e3,GET_FULL_TEXT,70,Performance Enhancement of a Morphing Limb for an Amphibious Robotic Turtle,2024,10.1109/robosoft60065.2024.10521924,Sun J.; Lin B.; Ramirez L.A.; Figueroa E.; Baines R.; Yang B.; Marroquin E.; Kramer-Bottiglio R.,"2024 IEEE 7th International Conference on Soft Robotics, RoboSoft 2024",bending_stiffness; jamming; pressure_control,forward/F02.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
4e819404d14a,GET_FULL_TEXT,70,A Stiffness-Changeable Soft Finger Based on Chain Mail Jamming,2023,10.1109/icra48891.2023.10161061,Hu Z.; Ahmed A.; Wan W.; Watanabe T.; Harada K.,Proceedings - IEEE International Conference on Robotics and Automation,bending_stiffness; jamming; pressure_control,forward/F02.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
d2632cebc056,GET_FULL_TEXT,70,Lockable Lower-Limb Exoskeleton Based on a Novel Variable-Stiffness Joint: Reducing Physical Fatigue at Squatting,2023,10.1115/1.4055964,Ma Z.; Liu J.; Ma G.; Gao J.; Chen B.; Zuo S.,Journal of Mechanisms and Robotics,bending_stiffness; jamming; pressure_control,forward/F02.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
c5d901b4db67,GET_FULL_TEXT,70,A 3D Printed Soft Robotic Gripper with a Variable Stiffness Enabled by a Novel Positive Pressure Layer Jamming Technology,2022,10.1109/lra.2022.3157448,Crowley G.B.; Zeng X.; Su H.-J.,IEEE Robotics and Automation Letters,bending_stiffness; jamming; pressure_control,forward/F02.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
65f3f4f6e2ec,GET_FULL_TEXT,70,"Shape memory alloy (SMA)-cable-controlled sliding bearings: Development, testing, and system behavior",2020,10.1088/1361-665x/ab8f68,Liang D.; Liang D.; Zheng Y.; Fang C.; Yam M.C.H.; Zhang C.,Smart Materials and Structures,bending_stiffness; contact_friction; niti_sma; phase_hysteresis; wire_bundle,backward/B02.csv,0,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
0c8b96f9d773,GET_FULL_TEXT,70,Superelastic shape memory alloy cables: Part II - Subcomponent isothermal responses,2013,10.1016/j.ijsolstr.2013.03.015,Reedlunn B.; Daly S.; Shaw J.,International Journal of Solids and Structures,contact_friction; niti_sma; phase_hysteresis; wire_bundle,backward/B01.csv; backward/B02.csv,1,"Metadata shows a strong T1/T2/T3 mechanics connection but does not establish a direct kill. Full text is needed to classify pressure as passive, fixed preload, or actively controlled.",True,True,False
d6cb700c7e33,KEEP_METADATA,40,Chainmail metamaterials assembled from 3D-printed discrete units with vacuum-programmable stiffness for adaptive locomotion,2026,10.1016/j.tws.2026.115477,Ma S.; Ni M.; Zhang G.; Yang Y.; Feng X.; Shao Y.; Lu Y.; Fu S.; Colombo P.; Yue H.,Thin-Walled Structures,bending_stiffness; contact_friction; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
